utt_id,true_spk,pred_spk,best_score,correct
BAC009S0251W0448,S0251,S0251,0.8515902757644653,True
BAC009S0251W0491,S0251,S0251,0.8081139326095581,True
BAC009S0251W0312,S0251,S0251,0.7767207622528076,True
BAC009S0251W0151,S0251,S0251,0.7843367457389832,True
BAC009S0096W0165,S0096,S0096,0.8044421672821045,True
BAC009S0096W0490,S0096,S0096,0.8837752342224121,True
BAC009S0096W0195,S0096,S0096,0.8193073272705078,True
BAC009S0096W0280,S0096,S0096,0.901613712310791,True
BAC009S0160W0485,S0160,S0160,0.696193277835846,True
BAC009S0160W0194,S0160,S0160,0.8370945453643799,True
BAC009S0160W0451,S0160,S0160,0.7207889556884766,True
BAC009S0160W0325,S0160,S0160,0.7337723970413208,True
BAC009S0166W0209,S0166,S0166,0.6371502876281738,True
BAC009S0166W0230,S0166,S0166,0.7477033138275146,True
BAC009S0166W0336,S0166,S0166,0.711739182472229,True
BAC009S0166W0315,S0166,S0166,0.6095610857009888,True
BAC009S0248W0352,S0248,S0248,0.6890280842781067,True
BAC009S0248W0126,S0248,S0248,0.7527985572814941,True
BAC009S0248W0291,S0248,S0248,0.6707022190093994,True
BAC009S0248W0414,S0248,S0248,0.6156210899353027,True
BAC009S0230W0265,S0230,S0230,0.749173641204834,True
BAC009S0230W0474,S0230,S0230,0.62249755859375,True
BAC009S0230W0135,S0230,S0230,0.8136563301086426,True
BAC009S0230W0354,S0230,S0230,0.7979002594947815,True
BAC009S0192W0132,S0192,S0192,0.7594021558761597,True
BAC009S0192W0399,S0192,S0192,0.7152729034423828,True
BAC009S0192W0398,S0192,S0192,0.7621117830276489,True
BAC009S0192W0240,S0192,S0192,0.7059230208396912,True
BAC009S0124W0483,S0124,S0124,0.7735349535942078,True
BAC009S0124W0306,S0124,S0124,0.6484529376029968,True
BAC009S0124W0400,S0124,S0124,0.74272620677948,True
BAC009S0124W0165,S0124,S0124,0.7724090814590454,True
BAC009S0340W0385,S0340,S0340,0.704599142074585,True
BAC009S0340W0179,S0340,S0340,0.6696587800979614,True
BAC009S0340W0134,S0340,S0340,0.5912297964096069,True
BAC009S0340W0384,S0340,S0340,0.7690477967262268,True
BAC009S0517W0135,S0517,S0517,0.7412393093109131,True
BAC009S0517W0365,S0517,S0517,0.697515606880188,True
BAC009S0517W0447,S0517,S0517,0.6797080636024475,True
BAC009S0517W0188,S0517,S0517,0.7281818389892578,True
BAC009S0194W0302,S0194,S0194,0.8275229930877686,True
BAC009S0194W0416,S0194,S0194,0.7534176111221313,True
BAC009S0194W0133,S0194,S0194,0.7295197248458862,True
BAC009S0194W0370,S0194,S0194,0.7033445239067078,True
BAC009S0655W0471,S0655,S0655,0.857022762298584,True
BAC009S0655W0495,S0655,S0655,0.7856874465942383,True
BAC009S0655W0254,S0655,S0655,0.8522288203239441,True
BAC009S0655W0238,S0655,S0655,0.8341727256774902,True
BAC009S0040W0329,S0040,S0040,0.8000069856643677,True
BAC009S0040W0300,S0040,S0040,0.7988171577453613,True
BAC009S0040W0483,S0040,S0040,0.7140685319900513,True
BAC009S0040W0244,S0040,S0040,0.7630693912506104,True
BAC009S0722W0415,S0722,S0722,0.6806260347366333,True
BAC009S0722W0274,S0722,S0722,0.8172562718391418,True
BAC009S0722W0232,S0722,S0722,0.8460404872894287,True
BAC009S0722W0167,S0722,S0722,0.7855408191680908,True
BAC009S0731W0383,S0731,S0731,0.8070622682571411,True
BAC009S0731W0478,S0731,S0731,0.6852172613143921,True
BAC009S0731W0163,S0731,S0731,0.7502536177635193,True
BAC009S0731W0434,S0731,S0731,0.81242436170578,True
BAC009S0748W0421,S0748,S0748,0.5958043336868286,True
BAC009S0748W0164,S0748,S0748,0.6989200115203857,True
BAC009S0748W0266,S0748,S0748,0.7052536010742188,True
BAC009S0748W0327,S0748,S0748,0.7463952302932739,True
