condition,cos_clean_aug,embedding_drift
noise_snr10,0.7360851691070439,0.2639148308929561
channel_8k,0.6602947645915104,0.3397052354084896
noise_snr10,0.6766801619429726,0.32331983805702735
channel_8k,0.5292699003501621,0.4707300996498379
noise_snr10,0.7731025006411925,0.22689749935880754
channel_8k,0.5727951810774861,0.42720481892251394
noise_snr10,0.7815359026441535,0.2184640973558465
channel_8k,0.5863850161070199,0.4136149838929801
noise_snr10,0.7514290138441999,0.2485709861558001
channel_8k,0.5551999751837791,0.44480002481622094
noise_snr10,0.6911939725417415,0.30880602745825847
channel_8k,0.5544792688759019,0.44552073112409807
noise_snr10,0.7615081449597048,0.23849185504029524
channel_8k,0.46182825472034994,0.5381717452796501
noise_snr10,0.7355268366411871,0.2644731633588129
channel_8k,0.547830158954224,0.45216984104577596
noise_snr10,0.7598917098479215,0.24010829015207846
channel_8k,0.6737556779057502,0.3262443220942498
noise_snr10,0.750970043240677,0.24902995675932305
channel_8k,0.5114566036577118,0.48854339634228816
noise_snr10,0.8187426246784796,0.18125737532152042
channel_8k,0.5736494944934296,0.4263505055065704
noise_snr10,0.6218003343033521,0.37819966569664787
channel_8k,0.5957465708285756,0.40425342917142437
noise_snr10,0.7009807754990424,0.29901922450095764
channel_8k,0.5965803801960005,0.40341961980399954
noise_snr10,0.7620053669310856,0.23799463306891444
channel_8k,0.5505509321470786,0.4494490678529214
noise_snr10,0.7376283177062762,0.26237168229372376
channel_8k,0.602505677873869,0.397494322126131
noise_snr10,0.7418508897655585,0.25814911023444154
channel_8k,0.5192976542041488,0.48070234579585125
noise_snr10,0.7779164567780608,0.22208354322193924
channel_8k,0.697817044172276,0.30218295582772403
noise_snr10,0.7784394544005115,0.22156054559948846
channel_8k,0.5923713739507168,0.4076286260492832
noise_snr10,0.7314627097416474,0.2685372902583526
channel_8k,0.5177448052693391,0.4822551947306609
noise_snr10,0.7758355063102484,0.22416449368975155
channel_8k,0.5375670736915595,0.46243292630844046
noise_snr10,0.6600615316188366,0.3399384683811634
channel_8k,0.49876853317553155,0.5012314668244684
noise_snr10,0.7455947768989044,0.2544052231010956
channel_8k,0.47383832301744483,0.5261616769825552
noise_snr10,0.7909115473811067,0.2090884526188933
channel_8k,0.5688251200060237,0.4311748799939763
noise_snr10,0.7467641755767919,0.25323582442320813
channel_8k,0.6711049412794241,0.3288950587205759
noise_snr10,0.5732648315323664,0.4267351684676336
channel_8k,0.6503086412671182,0.3496913587328818
noise_snr10,0.584648603314891,0.415351396685109
channel_8k,0.6528485948127617,0.3471514051872383
noise_snr10,0.5821539452364873,0.41784605476351266
channel_8k,0.6574181644393026,0.34258183556069743
noise_snr10,0.5927564199750659,0.4072435800249341
channel_8k,0.6421893770848812,0.3578106229151188
noise_snr10,0.6133239573493762,0.38667604265062383
channel_8k,0.6589938336276521,0.34100616637234793
noise_snr10,0.5991052447377031,0.4008947552622969
channel_8k,0.6939152823385963,0.30608471766140366
noise_snr10,0.575551673909134,0.424448326090866
channel_8k,0.5887603700889589,0.4112396299110411
noise_snr10,0.6526335412565626,0.3473664587434374
channel_8k,0.6688151292676593,0.3311848707323407
noise_snr10,0.6134910887816168,0.38650891121838316
channel_8k,0.6649489932322545,0.33505100676774546
noise_snr10,0.5502892677591312,0.44971073224086877
channel_8k,0.6936225821751023,0.3063774178248977
noise_snr10,0.5641529503673817,0.43584704963261833
channel_8k,0.6473466093178547,0.3526533906821453
noise_snr10,0.6700197391265238,0.3299802608734762
channel_8k,0.7041625729813394,0.29583742701866056
noise_snr10,0.5058178851090575,0.49418211489094255
channel_8k,0.6550977555030936,0.34490224449690643
noise_snr10,0.6589555674460889,0.34104443255391115
channel_8k,0.6212023434507573,0.3787976565492427
noise_snr10,0.5805738856297582,0.4194261143702418
channel_8k,0.6688384942881775,0.33116150571182246
noise_snr10,0.7145300265939104,0.2854699734060896
channel_8k,0.7159501838614638,0.2840498161385362
noise_snr10,0.723483912862512,0.276516087137488
channel_8k,0.6774411537519328,0.3225588462480672
noise_snr10,0.7106333303913779,0.2893666696086221
channel_8k,0.7210636662856097,0.2789363337143903
noise_snr10,0.619757169247985,0.38024283075201504
channel_8k,0.7668523711766911,0.23314762882330886
noise_snr10,0.6157918281840743,0.3842081718159257
channel_8k,0.5937578618755318,0.4062421381244682
noise_snr10,0.4684247625715355,0.5315752374284646
channel_8k,0.6573154656312602,0.3426845343687398
noise_snr10,0.678514593014964,0.321485406985036
channel_8k,0.636012704927175,0.363987295072825
noise_snr10,0.681274209438286,0.318725790561714
channel_8k,0.6058656638910732,0.3941343361089268
noise_snr10,0.6017207801800242,0.3982792198199758
channel_8k,0.6837829283046879,0.3162170716953121
